2026/07/13 04:18:15.747, 0, 0, 3, 15360, 10.56, 300
2026/07/13 04:18:16.763, 0, 0, 3, 15360, 9.47, 300
2026/07/13 04:18:17.775, 0, 0, 3, 15360, 9.66, 300
2026/07/13 04:18:18.797, 0, 0, 3, 15360, 9.47, 300
2026/07/13 04:18:19.815, 0, 0, 3, 15360, 9.47, 300
2026/07/13 04:18:20.846, 0, 0, 13, 15360, 25.78, 585
2026/07/13 04:18:21.890, 0, 0, 107, 15360, 25.68, 585
2026/07/13 04:18:22.897, 0, 0, 107, 15360, 25.68, 585
2026/07/13 04:18:23.906, 0, 0, 107, 15360, 25.68, 585
2026/07/13 04:18:24.940, 0, 0, 107, 15360, 25.68, 585
2026/07/13 04:18:25.947, 0, 0, 107, 15360, 25.68, 585
2026/07/13 04:18:26.954, 0, 0, 107, 15360, 25.78, 585
2026/07/13 04:18:27.964, 0, 0, 107, 15360, 25.78, 585
2026/07/13 04:18:28.974, 0, 0, 107, 15360, 25.78, 585
2026/07/13 04:18:29.983, 0, 0, 107, 15360, 25.78, 585
2026/07/13 04:18:30.991, 6, 0, 393, 15360, 25.78, 585
2026/07/13 04:18:31.999, 0, 0, 393, 15360, 25.78, 585
2026/07/13 04:18:33.007, 0, 0, 393, 15360, 25.88, 585
2026/07/13 04:18:34.029, 0, 0, 393, 15360, 25.78, 585
2026/07/13 04:18:35.045, 0, 0, 393, 15360, 25.88, 585
2026/07/13 04:18:36.059, 2, 0, 427, 15360, 25.88, 585
2026/07/13 04:18:37.067, 100, 34, 953, 15360, 68.61, 1260
2026/07/13 04:18:38.101, 100, 37, 7097, 15360, 71.41, 990
2026/07/13 04:18:39.110, 100, 34, 7097, 15360, 70.82, 1215
2026/07/13 04:18:40.120, 100, 41, 7097, 15360, 69.55, 1005
2026/07/13 04:18:41.129, 100, 34, 7097, 15360, 68.22, 1245
2026/07/13 04:18:42.139, 97, 56, 7097, 15360, 68.42, 1230
2026/07/13 04:18:43.148, 100, 34, 7097, 15360, 68.32, 1230
2026/07/13 04:18:44.159, 100, 36, 7097, 15360, 68.96, 1245
2026/07/13 04:18:45.168, 100, 35, 7097, 15360, 68.18, 1215
2026/07/13 04:18:46.185, 100, 34, 7097, 15360, 68.77, 1245
2026/07/13 04:18:47.200, 100, 40, 7097, 15360, 68.22, 1020
2026/07/13 04:18:48.217, 100, 36, 7097, 15360, 70.08, 1230
2026/07/13 04:18:49.237, 100, 52, 7097, 15360, 64.89, 1200
2026/07/13 04:18:50.246, 100, 34, 7097, 15360, 67.79, 1230
2026/07/13 04:18:51.255, 98, 35, 7097, 15360, 71.12, 1200
2026/07/13 04:18:52.264, 100, 38, 7097, 15360, 68.67, 1215
2026/07/13 04:18:53.272, 100, 35, 7097, 15360, 67.69, 1230
2026/07/13 04:18:54.279, 100, 34, 7097, 15360, 79.25, 990
2026/07/13 04:18:55.287, 100, 34, 7097, 15360, 68.08, 1200
2026/07/13 04:18:56.296, 100, 40, 7097, 15360, 68.67, 1020
2026/07/13 04:18:57.304, 100, 34, 7097, 15360, 68.28, 1215
2026/07/13 04:18:58.313, 95, 53, 7097, 15360, 31.88, 1575
2026/07/13 04:18:59.318, 0, 0, 7097, 15360, 33.25, 1590
2026/07/13 04:19:00.325, 0, 0, 7097, 15360, 26.67, 585
2026/07/13 04:19:01.342, 0, 0, 7097, 15360, 26.77, 585
2026/07/13 04:19:02.364, 0, 0, 7097, 15360, 26.66, 585
2026/07/13 04:19:03.385, 1, 0, 7099, 15360, 46.87, 585
2026/07/13 04:19:04.394, 100, 35, 7099, 15360, 67.24, 1215
2026/07/13 04:19:05.412, 100, 35, 7099, 15360, 67.54, 1215
2026/07/13 04:19:06.420, 100, 37, 13243, 15360, 71.86, 1200
2026/07/13 04:19:07.428, 100, 34, 13243, 15360, 64.30, 1215
2026/07/13 04:19:08.436, 100, 36, 13243, 15360, 68.86, 1215
2026/07/13 04:19:09.444, 100, 40, 13243, 15360, 68.03, 1020
2026/07/13 04:19:10.452, 100, 40, 13243, 15360, 67.89, 1275
2026/07/13 04:19:11.461, 100, 33, 13243, 15360, 68.47, 1200
2026/07/13 04:19:12.469, 100, 38, 13243, 15360, 71.66, 1125
2026/07/13 04:19:13.478, 100, 35, 13243, 15360, 67.54, 1215
2026/07/13 04:19:14.497, 100, 42, 13243, 15360, 65.97, 1170
2026/07/13 04:19:15.513, 100, 33, 13243, 15360, 67.44, 1215
2026/07/13 04:19:16.537, 100, 40, 14005, 15360, 68.38, 1020
2026/07/13 04:19:17.555, 14, 8, 14007, 15360, 34.53, 1590
2026/07/13 04:19:18.580, 8, 4, 14007, 15360, 34.14, 1590
2026/07/13 04:19:19.592, 0, 0, 14013, 15360, 34.24, 1590
2026/07/13 04:19:20.599, 100, 44, 14013, 15360, 69.26, 1215
2026/07/13 04:19:21.608, 100, 43, 14013, 15360, 68.77, 1215
2026/07/13 04:19:22.616, 100, 43, 14013, 15360, 68.22, 1215
2026/07/13 04:19:23.624, 100, 43, 14013, 15360, 68.28, 1215
2026/07/13 04:19:24.631, 98, 79, 14017, 15360, 38.05, 1500
2026/07/13 04:19:25.642, 0, 0, 14051, 15360, 34.24, 1590
2026/07/13 04:19:26.648, 100, 30, 14051, 15360, 67.00, 1260
2026/07/13 04:19:27.656, 53, 22, 14051, 15360, 53.91, 1590
2026/07/13 04:19:28.662, 60, 29, 14051, 15360, 49.34, 1590
2026/07/13 04:19:29.683, 40, 20, 14051, 15360, 49.08, 1590
2026/07/13 04:19:30.695, 43, 23, 14051, 15360, 51.31, 1590
2026/07/13 04:19:31.712, 46, 26, 14051, 15360, 53.02, 1590
2026/07/13 04:19:32.725, 10, 2, 14051, 15360, 36.86, 1590
2026/07/13 04:19:33.734, 18, 3, 14051, 15360, 39.53, 1590
2026/07/13 04:19:34.740, 31, 3, 14051, 15360, 30.30, 870
2026/07/13 04:19:35.749, 32, 3, 14051, 15360, 30.38, 810
2026/07/13 04:19:36.758, 20, 2, 14051, 15360, 27.55, 765
2026/07/13 04:19:37.766, 0, 0, 14051, 15360, 27.27, 585
2026/07/13 04:19:38.773, 0, 0, 14051, 15360, 27.17, 585
2026/07/13 04:19:39.782, 0, 0, 14051, 15360, 27.15, 585
2026/07/13 04:19:40.791, 0, 0, 14051, 15360, 27.17, 585
2026/07/13 04:19:41.807, 0, 0, 14051, 15360, 27.15, 585
2026/07/13 04:19:42.835, 0, 0, 14051, 15360, 27.17, 585
2026/07/13 04:19:43.853, 0, 0, 14051, 15360, 27.05, 585
2026/07/13 04:19:44.870, 0, 0, 14051, 15360, 27.07, 585
2026/07/13 04:19:45.910, 0, 0, 14051, 15360, 27.05, 585
2026/07/13 04:19:46.932, 0, 0, 14051, 15360, 27.07, 585
2026/07/13 04:19:47.954, 0, 0, 14051, 15360, 27.07, 585
2026/07/13 04:19:48.968, 0, 0, 14051, 15360, 27.05, 585
2026/07/13 04:19:49.979, 0, 0, 14051, 15360, 27.07, 585
2026/07/13 04:19:50.988, 100, 20, 14051, 15360, 68.91, 960
2026/07/13 04:19:51.995, 1, 1, 14051, 15360, 34.34, 1590
2026/07/13 04:19:53.001, 100, 59, 11179, 15360, 67.44, 1095
2026/07/13 04:19:54.013, 100, 43, 11213, 15360, 69.59, 1200
2026/07/13 04:19:55.027, 100, 60, 12139, 15360, 65.38, 930
2026/07/13 04:19:56.035, 100, 44, 12139, 15360, 67.00, 1185
2026/07/13 04:19:57.044, 100, 53, 12139, 15360, 56.66, 975
2026/07/13 04:19:58.058, 100, 47, 12139, 15360, 66.30, 1185
2026/07/13 04:19:59.067, 100, 50, 12139, 15360, 69.94, 1155
2026/07/13 04:20:00.094, 100, 45, 12139, 15360, 68.18, 1185
2026/07/13 04:20:01.115, 100, 43, 12139, 15360, 67.30, 1170
2026/07/13 04:20:02.129, 91, 59, 12139, 15360, 69.94, 1245
2026/07/13 04:20:03.152, 100, 42, 12139, 15360, 67.93, 1155
2026/07/13 04:20:04.162, 100, 60, 12139, 15360, 68.52, 1185
2026/07/13 04:20:05.172, 100, 43, 12139, 15360, 67.04, 1200
2026/07/13 04:20:06.185, 100, 60, 12139, 15360, 69.16, 1200
2026/07/13 04:20:07.196, 100, 43, 12139, 15360, 67.20, 1200
2026/07/13 04:20:08.205, 100, 60, 12139, 15360, 78.37, 900
2026/07/13 04:20:09.216, 100, 43, 12139, 15360, 67.73, 1155
2026/07/13 04:20:10.224, 100, 59, 12139, 15360, 77.34, 930
2026/07/13 04:20:11.234, 100, 43, 12139, 15360, 67.79, 1155
2026/07/13 04:20:12.249, 100, 61, 12139, 15360, 69.45, 1065
2026/07/13 04:20:13.273, 100, 43, 12139, 15360, 50.56, 1245
2026/07/13 04:20:14.292, 100, 43, 12139, 15360, 67.18, 1170
2026/07/13 04:20:15.306, 93, 63, 12139, 15360, 66.51, 1200
2026/07/13 04:20:16.316, 100, 43, 12139, 15360, 66.22, 1170
2026/07/13 04:20:17.334, 100, 58, 12139, 15360, 67.93, 1170
2026/07/13 04:20:18.346, 100, 44, 12139, 15360, 66.42, 1170
2026/07/13 04:20:19.355, 100, 60, 12139, 15360, 67.20, 1185
2026/07/13 04:20:20.362, 100, 46, 12139, 15360, 67.73, 1155
2026/07/13 04:20:21.437, 100, 60, 12139, 15360, 71.72, 1170
2026/07/13 04:20:22.445, 100, 43, 12139, 15360, 67.98, 1155
2026/07/13 04:20:23.453, 100, 58, 12139, 15360, 67.49, 1005
2026/07/13 04:20:24.472, 100, 44, 12139, 15360, 68.12, 1155
2026/07/13 04:20:25.480, 100, 61, 12139, 15360, 70.68, 975
2026/07/13 04:20:26.489, 100, 46, 12139, 15360, 68.38, 1155
2026/07/13 04:20:27.500, 100, 48, 12139, 15360, 69.26, 1005
2026/07/13 04:20:28.513, 100, 43, 12139, 15360, 63.65, 1290
2026/07/13 04:20:29.548, 100, 37, 12139, 15360, 65.44, 1155
2026/07/13 04:20:30.571, 93, 54, 12139, 15360, 67.89, 1170
2026/07/13 04:20:31.600, 100, 42, 12139, 15360, 68.47, 1170
2026/07/13 04:20:32.611, 96, 63, 12139, 15360, 69.06, 1155
2026/07/13 04:20:33.622, 100, 43, 12139, 15360, 67.00, 1155
2026/07/13 04:20:34.631, 100, 60, 12139, 15360, 69.10, 1185
2026/07/13 04:20:35.641, 100, 43, 12139, 15360, 67.83, 1155
2026/07/13 04:20:36.650, 100, 59, 12139, 15360, 68.28, 1185
2026/07/13 04:20:37.660, 100, 43, 12139, 15360, 67.63, 1155
2026/07/13 04:20:38.668, 100, 59, 12139, 15360, 68.86, 1170
2026/07/13 04:20:39.677, 100, 43, 12139, 15360, 67.35, 1155
2026/07/13 04:20:40.685, 100, 58, 12139, 15360, 67.04, 840
2026/07/13 04:20:41.695, 100, 43, 12139, 15360, 67.59, 1125
2026/07/13 04:20:42.717, 100, 58, 12139, 15360, 76.86, 930
2026/07/13 04:20:43.741, 100, 45, 12139, 15360, 68.08, 1110
2026/07/13 04:20:44.759, 100, 49, 12139, 15360, 71.07, 810
2026/07/13 04:20:45.782, 100, 51, 12139, 15360, 67.35, 1215
2026/07/13 04:20:46.799, 100, 40, 12139, 15360, 55.90, 1140
2026/07/13 04:20:47.808, 96, 56, 12139, 15360, 64.59, 1155
2026/07/13 04:20:48.816, 100, 41, 12139, 15360, 65.87, 1125
